abbrev	chemgen_name	full_name
A22	A22	A22
AMK	AMIKACIN	Amikacin
AMP	AMPICILLIN	Ampicilin
AMX	AMOXICILLIN	Amoxicillin
AZI	AZITHROMYCIN	Azithromycin
AZT	AZTREONAM	Aztreonam
BAC	BACITRACIN	Bacitracin
BLM	BLEOMYCIN	Bleomycin
BZK	BENZALKONIUM	Benzalkonium
CCCP	CCCP	CCCP
CEC	CEFACLOR	Cefaclor
CEF	CEFOXITIN	Cefoxitin
CER	CERULENIN	Cerulenin
CFS	CEFSULODIN	Cefsulodin
CHL	CHLORAMPHENICOL	Chloramphenicol
CIP	CIPROFLOXACIN	Ciprofloxacin
CLA	CLARYTHROMYCIN	Clarythromycin
CSD	CYCLOSERINED	CycloserineD
DOX	DOXYCYCLINE	Doxycycline
DXR	DOXORUBICIN	Doxorubicin
EGCG	EGCG	EGCG
ERY	ERYTHROMYCIN	Erythromycin
FOS	FOSFOMYCIN	Fosfomycin
FUS	FUSIDICACID	Fusidicacid
GEN	GENTAMICIN	Gentamicin
GLU	GLUCOSE	Glucose
GLY	GLYCEROL	Glycerol
H2O2	PEROXIDE	Peroxide
LEV	LEVOFLOXACIN	Levofloxacin
MEC	MECILLINAM	Mecillinam
MIN	MINOCYCLINE	Minoclycline
NAL	NALIDIXICACID	Nalidixic acid
NIT	NITROFURANTOIN	Nitrofurantoin
NVB	NOVOBIOCIN	Novobiocin
OXA	OXACILLIN	Oxacillin
PAR	PARAQUAT	Paraquat
PHL	PHLEOMYCIN	Phleomycin
PMB	POLYMYXINB	PolymyxinB
PRC	PROCAINE	Procaine
PUR	PUROMYCIN	Puromycin
PYO	PYOCYANIN	Pyocyanin
RIF	RIFAMPICIN	Rifampicin
SMM	SULFAMONOMETHOXINE	Sulfamonomethoxine
SPE	SPECTINOMYCIN	Spectinomycin
SPM	SPIRAMYCIN	Spiramycin
TET	TETRACYCLINE	Tetracycline
TOB	TOBRAMYCIN	Tobramycin
TPH	THEOPHYLLINE	Theophylline
TRC	TRICLOSAN	Triclosan
TRI	TRIMETHOPRIM	Trimethoprim
VAN	VANCOMYCIN	Vancomycin
VPM	VERAPAMIL	Verapamil
