abbrev	met_name	full_name
AMK	AmikacinHydrate	Amikacin
AMP	AmpicillinTrihydrate	Ampicilin
AMX	Amoxicillin	Amoxicillin
AZI	Azithromycin	Azithromycin
AZT	Aztreonam	Aztreonam
BAC	Bacitracin	Bacitracin
CEC	CefaclorHydrate	Cefaclor
CEF	CefoxitinSodiumSalt	Cefoxitin
CFS	CefsulodinSodiumSalt	Cefsulodin
CHL	Chloramphenicol	Chloramphenicol
CIP	CiprofloxacinHydrochlorideMonohydrate	Ciprofloxacin
CLA	Clarithromycin	Clarithromycin
CSD	D_cycloserine	Cycloserine
DOX	DoxycyclineHydrochloride	Doxycycline
DXR	DoxorubicinHydrochloride	Doxorubicin
ERY	Erythromycin	Erythromycin
FUS	FusidicAcidSodiumSalt	Fusidic acid
GEN	GentamicineSulfate	Gentamicin
MEM	Meropenem	Meropenem
MIN	MinocyclineHydrochloride	Minocycline
MXF	Moxifloxacin	Moxifloxacin
NAL	NalidixicAcidSodiumSalt	Nalidixic acid
NIT	Nitrofurantoin	Nitrofurantoin
NVB	NovobiocinSodiumSalt	Novobiocin
OXA	OxacillinSodium	Oxacillin
PRC	ProcaineHydrochloride	Procaine
RIF	Rifampicin	Rifampicin
SMM	Sulfamonomethoxine	Sulfamonomethoxine
SMX	Sulfamethoxazole	Sulfamethoxazole
SPE	SpectinomycinDihydrochloride	Spectinomycin
SPM	Spiramycin	Spiramycin
TET	TetracyclineHydrochloride	Tetracycline
TOB	Tobramycin	Tobramycin
TPH	TheophyllineMonohydrate	Theophylline
TRC	Triclosan	Triclosan
TRI	Trimethoprim	Trimethoprim
VAN	VancomycinHydrochloride	Vancomycin
VPM	VerapamilHydrochloride	Verapamil
