Protein,AMIKACIN,AMP,AZITHROMYCIN,BDQ,CAP,CEF,CHLORAMPHENICOL,CIPROFLOXACIN,CLARYTHROMYCIN,CLOFAZIMINE,CPZ,CYCLOSERINED,DELx,DOXYCYCLINE,ECONAZOLE,EMB,EMBx,ERY,ETA,ETHIDIUMBROMIDE,FUSIDICACID,INH,Kanamycin,LEVO,LINEZOLID,LZDx,MENADIONE,MINOCYCLINE,MTM,Moxifloxacin,NIGERICIN,NITROFURANTOIN,NORFLOXACIN,NOVOBIOCIN,OFLOX,OFX1,OXA,PA824,PBTZ169x,RIF,ROX,SM,SPECTINOMYCIN,SQ109,SUTx,TET,THZ (1hrMIC),TRZ,TUNICAMYCIN,VANCOMYCIN,VERAPAMIL,VERx
A0A089QRB9,558725.7945,139956.4725,360029.4118,68849.73116,471941.2779,161209.1688,642182.6216,30507.082,277539.6959,26498.76525,55162.13245,472629.7891,120160.6878,197535.1824,27023.2872,764489.5156,764489.5156,275543.3169,859231.4135,105019.054,227578.8551,653420.2791,789393.3512,34441.94566,483641.347,483641.347,264549.5246,235332.0474,323506.8037,51735.85026,563552.0336,527029.7654,43459.04041,75073.21943,34441.94566,34441.94566,266410.7194,134595.1881,117662.323,40923.30588,234256.7492,627766.6329,282988.4644,580860.9465,221262.1644,195023.6701,1890771.811,30726.16403,492860.5007,67956.16584,55359.63472,55359.63472
I6WXK4,1590979.195,998999.8583,1417508.095,58576.56167,1936967.736,1348820.063,817889.3077,30648.22805,1147954.499,46305.75314,172354.9095,1618069.504,113781.9313,1340523.403,37686.25626,1809662.68,1809662.68,1138956.499,1770016.276,159811.4647,830931.3885,1534065.52,1612654.894,34846.48847,1442817.776,1442817.776,1003717.598,1315282.18,1182135.538,37175.50014,1162177.308,1351301.788,31565.87785,38274.84406,34846.48847,34846.48847,686602.104,144128.3189,125805.3688,37678.96094,1194871.515,2172336.093,1285868.204,1557001.296,704274.939,1312657.67,2390991.969,31826.43944,1665023.425,27530.24866,47098.24685,47098.24685
I6WZG6,626417.6812,1195936.901,1058507.302,54186.98233,1287541.001,1211664.145,326494.4786,24985.88472,980297.5626,32281.51637,80261.63319,1482275.837,35835.06153,964382.0635,48318.99254,886273.0997,886273.0997,968370.5174,651215.7659,97689.39799,596851.9957,1064209.026,747629.0869,26510.57979,879287.3595,879287.3595,640137.25,1098913.345,1065770.279,28578.20802,674896.584,576177.5754,23287.10052,45219.34169,26510.57979,26510.57979,656145.8489,52445.7347,39443.64177,31694.39025,957328.4131,1524579.332,836608.293,951408.436,512721.6062,1094879.79,766447.678,19825.255,1186386.583,29618.82852,79423.38532,79423.38532
I6X235,1891680.687,1075159.466,1126003.154,42390.4505,1807572.363,934241.7181,1349153.283,18627.88157,805258.5275,442477.8197,496311.3448,1357676.322,95253.4152,799899.4255,104448.5354,2406380.416,2406380.416,799525.4985,3030516.317,469966.132,956573.0977,1589493.586,2106658.07,18389.8208,1726802.121,1726802.121,1054798.4,800054.8471,1102804.456,16771.24406,1742979.85,1170394.946,17527.239,134444.2347,18389.8208,18389.8208,526988.2757,123665.0792,95972.22138,20858.9801,862517.0131,1607915.676,745694.1736,2049744.231,472636.6313,804186.8921,4125644.193,38897.21635,1443835.796,22641.50821,129071.613,129071.613
I6X8D2,53083.40159,107875.2014,218537.8722,65411.38455,131363.7116,87653.39307,222360.0241,10237.07463,125982.765,15884.26666,50740.44114,167857.318,57867.24488,83489.04383,72152.9058,280345.691,280345.691,128087.735,408698.7161,58392.79538,79153.43066,465646.5514,327443.2446,18085.35237,98349.54479,98349.54479,58015.09036,160571.8281,230748.8988,8096.633442,76661.9003,140660.0799,9107.347817,94168.52981,18085.35237,18085.35237,107313.5332,71046.52463,50112.38937,20477.21877,133516.2146,199882.8661,99127.19016,159056.0355,62256.22142,114279.198,716715.4032,37312.81417,94105.12311,40659.81937,82105.79162,82105.79162
I6XD65,911119.5532,583425.079,673808.5873,214196.6803,908815.1715,719920.7874,815459.5593,101879.318,495586.381,105760.2411,163746.2866,1107259.967,255455.518,498572.4608,84179.51447,1163450.889,1163450.889,494531.562,1660689.814,285888.9652,426270.5582,1096453.481,903485.2235,172101.4907,924411.5666,924411.5666,551988.0681,514301.4598,625683.636,132684.6744,831736.897,582866.2523,110272.921,193498.5366,172101.4907,172101.4907,734776.1738,269966.8271,258037.2269,171704.8466,708029.7017,904922.4591,457026.3584,1105064.146,619006.6838,491607.1685,2300869.832,142120.3767,886786.4736,105786.912,211610.8503,211610.8503
I6XD69,438484.5752,211384.3825,344782.6763,126882.6548,442750.3531,233435.6369,513886.0638,41312.51134,350921.774,33017.74625,71097.43364,584552.1357,138879.4245,238816.8063,49860.17444,836749.4499,836749.4499,348903.054,828557.8655,107197.2351,234571.1289,705343.1182,715307.0659,51656.86354,549390.8882,549390.8882,333588.4353,262695.0006,249090.1081,39105.81126,607326.7825,427775.0833,53184.16924,125030.3643,51656.86354,51656.86354,419099.653,165057.2055,129043.1815,55147.55019,216161.2806,612969.0409,297786.0361,650469.2901,198125.6485,233767.0344,1753729.417,67390.76205,534993.739,90737.73247,145592.594,145592.594
I6XFS7,2153184.25,1446081.894,1702719.699,195339.8057,2054270.005,1631983.444,1307212.424,67113.9604,1720365.741,927297.0288,720153.4714,1810611.86,291168.2418,1455535.022,851455.5483,2058921.676,2058921.676,1720363.041,2191880.128,1414609.595,1746001.709,1986984.708,2233422.65,112597.0904,1782504.674,1782504.674,1858272.846,1465037.696,1729725.42,67945.49873,1897196.467,1281162.272,67061.1591,85228.23137,112597.0904,112597.0904,861166.6793,409603.135,309579.8064,33180.56652,1492621.218,1894896.192,1581926.705,2316962.105,772623.4724,1456768.406,2471574.78,88197.54459,1468444.332,24205.65083,290317.5729,290317.5729
I6XHI4,833560.4301,499063.6308,901967.8156,31159.74383,881364.2154,842729.7242,802458.5928,33968.81184,998332.8463,23355.93417,58440.053,486765.162,137808.1894,799286.7503,21070.48165,846706.1319,846706.1319,998337.8673,688661.2572,149680.9345,1102957.386,763122.3844,852553.3781,26946.08642,821797.0678,821797.0678,1078830.024,814777.0651,1115218.949,31595.93609,1032569.883,597498.4786,34491.38119,35764.98364,26946.08642,26946.08642,549334.082,155206.0168,133848.2401,24316.91187,780330.6406,858976.2792,893248.1413,1197549.093,463639.1577,806495.881,1219700.632,35345.14873,779963.3049,22699.07767,45020.72567,45020.72567
I6XU97,1486088.087,1986001.354,914482.7368,80228.65233,1437758.404,1044636.534,1159992.1,56531.31494,990137.1223,60789.41408,142494.7951,2394249.064,150215.4019,902217.326,68421.71667,1431844.73,1431844.73,990151.4433,1525972.96,188851.6721,598829.4984,2124250.415,1481984.869,62174.92519,1573845.576,1573845.576,808459.5241,935328.2316,1173749.65,48553.51637,1515705.445,1331552.73,54566.56446,120135.1753,62174.92519,62174.92519,3065188.377,202290.5371,158046.1374,61674.29167,1037612.791,1475616.206,1014107.833,1128132.22,3666437.249,901428.0759,2852153.24,47883.67897,1723790.415,67048.30459,97565.13393,97565.13393
